1/36. Count of epochs: 10; batch size: 50; learning rate: 0.02000...
Epoch 492/1000... Training accuracy.: 0.95700; testing accuracy.: 0.92000
Training loss: 1.50512; testing loss: 1.54445;
-------------------------------------------------------------------------------------------
Epoch 493/1000... Training accuracy.: 0.95702; testing accuracy.: 0.91500
Training loss: 1.50512; testing loss: 1.54587;
-------------------------------------------------------------------------------------------
Epoch 494/1000... Training accuracy.: 0.95698; testing accuracy.: 0.94000
Training loss: 1.50513; testing loss: 1.52352;
-------------------------------------------------------------------------------------------
Epoch 495/1000... Training accuracy.: 0.95702; testing accuracy.: 0.92000
Training loss: 1.50513; testing loss: 1.54487;
-------------------------------------------------------------------------------------------
Epoch 496/1000... Training accuracy.: 0.95698; testing accuracy.: 0.91500
Training loss: 1.50511; testing loss: 1.54372;
-------------------------------------------------------------------------------------------
Epoch 497/1000... Training accuracy.: 0.95700; testing accuracy.: 0.94000
Training loss: 1.50512; testing loss: 1.52210;
-------------------------------------------------------------------------------------------
Epoch 498/1000... Training accuracy.: 0.95700; testing accuracy.: 0.92500
Training loss: 1.50510; testing loss: 1.53687;
-------------------------------------------------------------------------------------------
Epoch 499/1000... Training accuracy.: 0.95702; testing accuracy.: 0.92500
Training loss: 1.50512; testing loss: 1.53550;
-------------------------------------------------------------------------------------------
Epoch 500/1000... Training accuracy.: 0.95702; testing accuracy.: 0.94500
Training loss: 1.50511; testing loss: 1.51720;
-------------------------------------------------------------------------------------------
Epoch 501/1000... Training accuracy.: 0.95703; testing accuracy.: 0.92000
Training loss: 1.50509; testing loss: 1.53966;
-------------------------------------------------------------------------------------------
Epoch 502/1000... Training accuracy.: 0.95703; testing accuracy.: 0.91500
Training loss: 1.50510; testing loss: 1.54821;
-------------------------------------------------------------------------------------------
Epoch 503/1000... Training accuracy.: 0.95703; testing accuracy.: 0.95000
Training loss: 1.50508; testing loss: 1.51343;
-------------------------------------------------------------------------------------------
Epoch 504/1000... Training accuracy.: 0.95702; testing accuracy.: 0.92000
Training loss: 1.50507; testing loss: 1.54337;
-------------------------------------------------------------------------------------------
Epoch 505/1000... Training accuracy.: 0.95702; testing accuracy.: 0.94500
Training loss: 1.50508; testing loss: 1.51740;
-------------------------------------------------------------------------------------------
Epoch 506/1000... Training accuracy.: 0.95703; testing accuracy.: 0.89000
Training loss: 1.50507; testing loss: 1.57226;
-------------------------------------------------------------------------------------------
Epoch 507/1000... Training accuracy.: 0.95702; testing accuracy.: 0.94500
Training loss: 1.50507; testing loss: 1.51606;
-------------------------------------------------------------------------------------------
Epoch 508/1000... Training accuracy.: 0.95703; testing accuracy.: 0.92500
Training loss: 1.50507; testing loss: 1.53957;
-------------------------------------------------------------------------------------------
Epoch 509/1000... Training accuracy.: 0.95707; testing accuracy.: 0.96500
Training loss: 1.50506; testing loss: 1.49567;
-------------------------------------------------------------------------------------------
Epoch 510/1000... Training accuracy.: 0.95705; testing accuracy.: 0.94500
Training loss: 1.50503; testing loss: 1.51637;
-------------------------------------------------------------------------------------------
Epoch 511/1000... Training accuracy.: 0.95705; testing accuracy.: 0.92000
Training loss: 1.50504; testing loss: 1.53678;
-------------------------------------------------------------------------------------------
Epoch 512/1000... Training accuracy.: 0.95705; testing accuracy.: 0.95500
Training loss: 1.50504; testing loss: 1.51039;
-------------------------------------------------------------------------------------------
Epoch 513/1000... Training accuracy.: 0.95705; testing accuracy.: 0.93500
Training loss: 1.50503; testing loss: 1.52688;
-------------------------------------------------------------------------------------------
Epoch 514/1000... Training accuracy.: 0.95703; testing accuracy.: 0.93500
Training loss: 1.50503; testing loss: 1.52657;
-------------------------------------------------------------------------------------------
Epoch 515/1000... Training accuracy.: 0.95707; testing accuracy.: 0.92000
Training loss: 1.50502; testing loss: 1.54226;
-------------------------------------------------------------------------------------------
Epoch 516/1000... Training accuracy.: 0.95705; testing accuracy.: 0.95000
Training loss: 1.50502; testing loss: 1.51063;
-------------------------------------------------------------------------------------------
Epoch 517/1000... Training accuracy.: 0.95705; testing accuracy.: 0.92500
Training loss: 1.50502; testing loss: 1.53853;
-------------------------------------------------------------------------------------------
Epoch 518/1000... Training accuracy.: 0.95707; testing accuracy.: 0.94500
Training loss: 1.50502; testing loss: 1.51971;
-------------------------------------------------------------------------------------------
Epoch 519/1000... Training accuracy.: 0.95705; testing accuracy.: 0.90500
Training loss: 1.50503; testing loss: 1.55274;
-------------------------------------------------------------------------------------------
Epoch 520/1000... Training accuracy.: 0.95705; testing accuracy.: 0.89000
Training loss: 1.50501; testing loss: 1.57657;
-------------------------------------------------------------------------------------------
Epoch 521/1000... Training accuracy.: 0.95705; testing accuracy.: 0.86500
Training loss: 1.50501; testing loss: 1.59574;
-------------------------------------------------------------------------------------------
Epoch 522/1000... Training accuracy.: 0.95707; testing accuracy.: 0.94500
Training loss: 1.50501; testing loss: 1.51146;
-------------------------------------------------------------------------------------------
Epoch 523/1000... Training accuracy.: 0.95707; testing accuracy.: 0.94500
Training loss: 1.50501; testing loss: 1.51656;
-------------------------------------------------------------------------------------------
Epoch 524/1000... Training accuracy.: 0.95707; testing accuracy.: 0.94000
Training loss: 1.50501; testing loss: 1.52341;
-------------------------------------------------------------------------------------------
Epoch 525/1000... Training accuracy.: 0.95707; testing accuracy.: 0.92500
Training loss: 1.50500; testing loss: 1.53454;
-------------------------------------------------------------------------------------------
Epoch 526/1000... Training accuracy.: 0.95703; testing accuracy.: 0.95000
Training loss: 1.50500; testing loss: 1.51208;
-------------------------------------------------------------------------------------------
Epoch 527/1000... Training accuracy.: 0.95707; testing accuracy.: 0.90500
Training loss: 1.50500; testing loss: 1.55406;
-------------------------------------------------------------------------------------------
Epoch 528/1000... Training accuracy.: 0.95705; testing accuracy.: 0.93500
Training loss: 1.50499; testing loss: 1.52667;
-------------------------------------------------------------------------------------------
Epoch 529/1000... Training accuracy.: 0.95705; testing accuracy.: 0.88000
Training loss: 1.50499; testing loss: 1.58012;
-------------------------------------------------------------------------------------------
Epoch 530/1000... Training accuracy.: 0.95707; testing accuracy.: 0.91000
Training loss: 1.50499; testing loss: 1.54940;
-------------------------------------------------------------------------------------------
Epoch 531/1000... Training accuracy.: 0.95707; testing accuracy.: 0.90500
Training loss: 1.50499; testing loss: 1.55264;
-------------------------------------------------------------------------------------------
Epoch 532/1000... Training accuracy.: 0.95705; testing accuracy.: 0.91000
Training loss: 1.50498; testing loss: 1.54787;
-------------------------------------------------------------------------------------------
Epoch 533/1000... Training accuracy.: 0.95707; testing accuracy.: 0.92000
Training loss: 1.50498; testing loss: 1.54239;
-------------------------------------------------------------------------------------------
Epoch 534/1000... Training accuracy.: 0.95708; testing accuracy.: 0.92500
Training loss: 1.50497; testing loss: 1.53049;
-------------------------------------------------------------------------------------------
Epoch 535/1000... Training accuracy.: 0.95707; testing accuracy.: 0.90000
Training loss: 1.50497; testing loss: 1.56071;
-------------------------------------------------------------------------------------------
Epoch 536/1000... Training accuracy.: 0.95707; testing accuracy.: 0.96500
Training loss: 1.50497; testing loss: 1.49709;
-------------------------------------------------------------------------------------------
Epoch 537/1000... Training accuracy.: 0.95708; testing accuracy.: 0.94500
Training loss: 1.50496; testing loss: 1.51732;
-------------------------------------------------------------------------------------------
Epoch 538/1000... Training accuracy.: 0.95703; testing accuracy.: 0.96500
Training loss: 1.50497; testing loss: 1.49548;
-------------------------------------------------------------------------------------------
Epoch 539/1000... Training accuracy.: 0.95708; testing accuracy.: 0.95500
Training loss: 1.50496; testing loss: 1.50711;
-------------------------------------------------------------------------------------------
Epoch 540/1000... Training accuracy.: 0.95707; testing accuracy.: 0.91000
Training loss: 1.50496; testing loss: 1.55381;
-------------------------------------------------------------------------------------------
Epoch 541/1000... Training accuracy.: 0.95705; testing accuracy.: 0.94500
Training loss: 1.50496; testing loss: 1.51620;
-------------------------------------------------------------------------------------------
Epoch 542/1000... Training accuracy.: 0.95705; testing accuracy.: 0.91500
Training loss: 1.50496; testing loss: 1.54773;
-------------------------------------------------------------------------------------------
Epoch 543/1000... Training accuracy.: 0.95708; testing accuracy.: 0.92000
Training loss: 1.50495; testing loss: 1.53987;
-------------------------------------------------------------------------------------------
Epoch 544/1000... Training accuracy.: 0.95707; testing accuracy.: 0.94000
Training loss: 1.50495; testing loss: 1.52292;
-------------------------------------------------------------------------------------------
Epoch 545/1000... Training accuracy.: 0.95707; testing accuracy.: 0.90000
Training loss: 1.50495; testing loss: 1.55953;
-------------------------------------------------------------------------------------------
Epoch 546/1000... Training accuracy.: 0.95705; testing accuracy.: 0.93500
Training loss: 1.50495; testing loss: 1.52431;
-------------------------------------------------------------------------------------------
Epoch 547/1000... Training accuracy.: 0.95708; testing accuracy.: 0.94000
Training loss: 1.50494; testing loss: 1.51871;
-------------------------------------------------------------------------------------------
Epoch 548/1000... Training accuracy.: 0.95707; testing accuracy.: 0.93500
Training loss: 1.50494; testing loss: 1.52622;
-------------------------------------------------------------------------------------------
Epoch 549/1000... Training accuracy.: 0.95705; testing accuracy.: 0.91000
Training loss: 1.50494; testing loss: 1.54898;
-------------------------------------------------------------------------------------------
Epoch 550/1000... Training accuracy.: 0.95708; testing accuracy.: 0.91500
Training loss: 1.50494; testing loss: 1.54494;
-------------------------------------------------------------------------------------------
Epoch 551/1000... Training accuracy.: 0.95705; testing accuracy.: 0.92000
Training loss: 1.50493; testing loss: 1.54231;
-------------------------------------------------------------------------------------------
Epoch 552/1000... Training accuracy.: 0.95708; testing accuracy.: 0.92000
Training loss: 1.50492; testing loss: 1.53981;
-------------------------------------------------------------------------------------------
Epoch 553/1000... Training accuracy.: 0.95707; testing accuracy.: 0.91500
Training loss: 1.50493; testing loss: 1.54677;
-------------------------------------------------------------------------------------------
Epoch 554/1000... Training accuracy.: 0.95710; testing accuracy.: 0.93000
Training loss: 1.50492; testing loss: 1.53268;
-------------------------------------------------------------------------------------------
Epoch 555/1000... Training accuracy.: 0.95710; testing accuracy.: 0.95500
Training loss: 1.50492; testing loss: 1.50747;
-------------------------------------------------------------------------------------------
Epoch 556/1000... Training accuracy.: 0.95708; testing accuracy.: 0.94000
Training loss: 1.50492; testing loss: 1.52201;
-------------------------------------------------------------------------------------------
Epoch 557/1000... Training accuracy.: 0.95708; testing accuracy.: 0.93000
Training loss: 1.50491; testing loss: 1.53252;
-------------------------------------------------------------------------------------------
Epoch 558/1000... Training accuracy.: 0.95710; testing accuracy.: 0.94000
Training loss: 1.50490; testing loss: 1.52040;
-------------------------------------------------------------------------------------------
Epoch 559/1000... Training accuracy.: 0.95708; testing accuracy.: 0.95500
Training loss: 1.50490; testing loss: 1.50986;
-------------------------------------------------------------------------------------------
Epoch 560/1000... Training accuracy.: 0.95710; testing accuracy.: 0.92500
Training loss: 1.50490; testing loss: 1.53181;
-------------------------------------------------------------------------------------------
Epoch 561/1000... Training accuracy.: 0.95707; testing accuracy.: 0.95000
Training loss: 1.50490; testing loss: 1.51093;
-------------------------------------------------------------------------------------------
Epoch 562/1000... Training accuracy.: 0.95710; testing accuracy.: 0.95500
Training loss: 1.50489; testing loss: 1.50702;
-------------------------------------------------------------------------------------------
Epoch 563/1000... Training accuracy.: 0.95707; testing accuracy.: 0.95500
Training loss: 1.50490; testing loss: 1.50835;
-------------------------------------------------------------------------------------------
Epoch 564/1000... Training accuracy.: 0.95710; testing accuracy.: 0.92500
Training loss: 1.50489; testing loss: 1.53732;
-------------------------------------------------------------------------------------------
Epoch 565/1000... Training accuracy.: 0.95708; testing accuracy.: 0.93500
Training loss: 1.50489; testing loss: 1.52587;
-------------------------------------------------------------------------------------------
Epoch 566/1000... Training accuracy.: 0.95708; testing accuracy.: 0.95000
Training loss: 1.50488; testing loss: 1.51341;
-------------------------------------------------------------------------------------------
Epoch 567/1000... Training accuracy.: 0.95710; testing accuracy.: 0.91000
Training loss: 1.50488; testing loss: 1.55076;
-------------------------------------------------------------------------------------------
Epoch 568/1000... Training accuracy.: 0.95708; testing accuracy.: 0.91500
Training loss: 1.50488; testing loss: 1.55086;
-------------------------------------------------------------------------------------------
Epoch 569/1000... Training accuracy.: 0.95710; testing accuracy.: 0.93500
Training loss: 1.50488; testing loss: 1.52876;
-------------------------------------------------------------------------------------------
Epoch 570/1000... Training accuracy.: 0.95710; testing accuracy.: 0.94000
Training loss: 1.50486; testing loss: 1.51870;
-------------------------------------------------------------------------------------------
Epoch 571/1000... Training accuracy.: 0.95708; testing accuracy.: 0.90000
Training loss: 1.50488; testing loss: 1.56178;
-------------------------------------------------------------------------------------------
Epoch 572/1000... Training accuracy.: 0.95710; testing accuracy.: 0.91500
Training loss: 1.50487; testing loss: 1.54504;
-------------------------------------------------------------------------------------------
Epoch 573/1000... Training accuracy.: 0.95708; testing accuracy.: 0.94500
Training loss: 1.50486; testing loss: 1.51780;
-------------------------------------------------------------------------------------------
Epoch 574/1000... Training accuracy.: 0.95710; testing accuracy.: 0.94500
Training loss: 1.50486; testing loss: 1.51442;
-------------------------------------------------------------------------------------------
Epoch 575/1000... Training accuracy.: 0.95708; testing accuracy.: 0.92500
Training loss: 1.50487; testing loss: 1.53455;
-------------------------------------------------------------------------------------------
Epoch 576/1000... Training accuracy.: 0.95710; testing accuracy.: 0.90500
Training loss: 1.50486; testing loss: 1.55075;
-------------------------------------------------------------------------------------------
Epoch 577/1000... Training accuracy.: 0.95710; testing accuracy.: 0.91500
Training loss: 1.50486; testing loss: 1.54838;
-------------------------------------------------------------------------------------------
Epoch 578/1000... Training accuracy.: 0.95708; testing accuracy.: 0.93000
Training loss: 1.50486; testing loss: 1.53112;
-------------------------------------------------------------------------------------------
Epoch 579/1000... Training accuracy.: 0.95710; testing accuracy.: 0.93000
Training loss: 1.50486; testing loss: 1.53442;
-------------------------------------------------------------------------------------------
Epoch 580/1000... Training accuracy.: 0.95710; testing accuracy.: 0.90500
Training loss: 1.50485; testing loss: 1.55283;
-------------------------------------------------------------------------------------------
Epoch 581/1000... Training accuracy.: 0.95708; testing accuracy.: 0.91500
Training loss: 1.50485; testing loss: 1.54579;
-------------------------------------------------------------------------------------------
Epoch 582/1000... Training accuracy.: 0.95710; testing accuracy.: 0.92500
Training loss: 1.50485; testing loss: 1.53826;
-------------------------------------------------------------------------------------------
Epoch 583/1000... Training accuracy.: 0.95710; testing accuracy.: 0.92500
Training loss: 1.50485; testing loss: 1.53486;
-------------------------------------------------------------------------------------------
Epoch 584/1000... Training accuracy.: 0.95710; testing accuracy.: 0.92500
Training loss: 1.50485; testing loss: 1.54091;
-------------------------------------------------------------------------------------------
Epoch 585/1000... Training accuracy.: 0.95712; testing accuracy.: 0.95000
Training loss: 1.50484; testing loss: 1.50816;
-------------------------------------------------------------------------------------------
Epoch 586/1000... Training accuracy.: 0.95710; testing accuracy.: 0.94000
Training loss: 1.50483; testing loss: 1.52483;
-------------------------------------------------------------------------------------------
Epoch 587/1000... Training accuracy.: 0.95708; testing accuracy.: 0.88500
Training loss: 1.50484; testing loss: 1.56966;
-------------------------------------------------------------------------------------------
Epoch 588/1000... Training accuracy.: 0.95712; testing accuracy.: 0.93000
Training loss: 1.50483; testing loss: 1.53220;
-------------------------------------------------------------------------------------------
Epoch 589/1000... Training accuracy.: 0.95712; testing accuracy.: 0.90000
Training loss: 1.50483; testing loss: 1.56167;
-------------------------------------------------------------------------------------------
Epoch 590/1000... Training accuracy.: 0.95712; testing accuracy.: 0.94000
Training loss: 1.50483; testing loss: 1.51700;
-------------------------------------------------------------------------------------------
Epoch 591/1000... Training accuracy.: 0.95713; testing accuracy.: 0.90000
Training loss: 1.50483; testing loss: 1.56114;
-------------------------------------------------------------------------------------------
Epoch 592/1000... Training accuracy.: 0.95713; testing accuracy.: 0.93000
Training loss: 1.50482; testing loss: 1.53440;
-------------------------------------------------------------------------------------------
Epoch 593/1000... Training accuracy.: 0.95713; testing accuracy.: 0.96000
Training loss: 1.50482; testing loss: 1.50282;
-------------------------------------------------------------------------------------------
Epoch 594/1000... Training accuracy.: 0.95712; testing accuracy.: 0.91000
Training loss: 1.50481; testing loss: 1.55363;
-------------------------------------------------------------------------------------------
Epoch 595/1000... Training accuracy.: 0.95713; testing accuracy.: 0.93500
Training loss: 1.50481; testing loss: 1.52531;
-------------------------------------------------------------------------------------------
Epoch 596/1000... Training accuracy.: 0.95715; testing accuracy.: 0.93000
Training loss: 1.50481; testing loss: 1.52964;
-------------------------------------------------------------------------------------------
Epoch 597/1000... Training accuracy.: 0.95715; testing accuracy.: 0.93000
Training loss: 1.50481; testing loss: 1.53177;
-------------------------------------------------------------------------------------------
Epoch 598/1000... Training accuracy.: 0.95713; testing accuracy.: 0.91000
Training loss: 1.50480; testing loss: 1.55133;
-------------------------------------------------------------------------------------------
Epoch 599/1000... Training accuracy.: 0.95713; testing accuracy.: 0.95000
Training loss: 1.50481; testing loss: 1.50993;
-------------------------------------------------------------------------------------------
Epoch 600/1000... Training accuracy.: 0.95715; testing accuracy.: 0.92000
Training loss: 1.50479; testing loss: 1.54228;
-------------------------------------------------------------------------------------------
Epoch 601/1000... Training accuracy.: 0.95715; testing accuracy.: 0.91500
Training loss: 1.50479; testing loss: 1.54555;
-------------------------------------------------------------------------------------------
Epoch 602/1000... Training accuracy.: 0.95715; testing accuracy.: 0.95500
Training loss: 1.50479; testing loss: 1.50543;
-------------------------------------------------------------------------------------------
Epoch 603/1000... Training accuracy.: 0.95713; testing accuracy.: 0.89000
Training loss: 1.50478; testing loss: 1.57274;
-------------------------------------------------------------------------------------------
Epoch 604/1000... Training accuracy.: 0.95715; testing accuracy.: 0.92000
Training loss: 1.50479; testing loss: 1.53690;
-------------------------------------------------------------------------------------------
Epoch 605/1000... Training accuracy.: 0.95715; testing accuracy.: 0.98000
Training loss: 1.50478; testing loss: 1.48047;
-------------------------------------------------------------------------------------------
Epoch 606/1000... Training accuracy.: 0.95717; testing accuracy.: 0.93000
Training loss: 1.50478; testing loss: 1.53398;
-------------------------------------------------------------------------------------------
Epoch 607/1000... Training accuracy.: 0.95715; testing accuracy.: 0.94500
Training loss: 1.50477; testing loss: 1.51728;
-------------------------------------------------------------------------------------------
Epoch 608/1000... Training accuracy.: 0.95715; testing accuracy.: 0.90500
Training loss: 1.50477; testing loss: 1.55765;
-------------------------------------------------------------------------------------------
Epoch 609/1000... Training accuracy.: 0.95717; testing accuracy.: 0.94500
Training loss: 1.50477; testing loss: 1.51812;
-------------------------------------------------------------------------------------------
Epoch 610/1000... Training accuracy.: 0.95715; testing accuracy.: 0.93000
Training loss: 1.50477; testing loss: 1.52978;
-------------------------------------------------------------------------------------------
Epoch 611/1000... Training accuracy.: 0.95717; testing accuracy.: 0.90500
Training loss: 1.50476; testing loss: 1.55456;
-------------------------------------------------------------------------------------------
Epoch 612/1000... Training accuracy.: 0.95717; testing accuracy.: 0.91500
Training loss: 1.50476; testing loss: 1.54517;
-------------------------------------------------------------------------------------------
Epoch 613/1000... Training accuracy.: 0.95717; testing accuracy.: 0.92500
Training loss: 1.50475; testing loss: 1.54188;
-------------------------------------------------------------------------------------------
Epoch 614/1000... Training accuracy.: 0.95715; testing accuracy.: 0.93500
Training loss: 1.50476; testing loss: 1.52993;
-------------------------------------------------------------------------------------------
Epoch 615/1000... Training accuracy.: 0.95715; testing accuracy.: 0.92500
Training loss: 1.50475; testing loss: 1.53708;
-------------------------------------------------------------------------------------------
Epoch 616/1000... Training accuracy.: 0.95717; testing accuracy.: 0.93000
Training loss: 1.50475; testing loss: 1.53175;
-------------------------------------------------------------------------------------------
Epoch 617/1000... Training accuracy.: 0.95717; testing accuracy.: 0.95500
Training loss: 1.50475; testing loss: 1.50469;
-------------------------------------------------------------------------------------------
Epoch 618/1000... Training accuracy.: 0.95717; testing accuracy.: 0.93000
Training loss: 1.50475; testing loss: 1.53307;
-------------------------------------------------------------------------------------------
Epoch 619/1000... Training accuracy.: 0.95715; testing accuracy.: 0.93500
Training loss: 1.50474; testing loss: 1.52557;
-------------------------------------------------------------------------------------------
Epoch 620/1000... Training accuracy.: 0.95715; testing accuracy.: 0.93500
Training loss: 1.50474; testing loss: 1.52735;
-------------------------------------------------------------------------------------------
Epoch 621/1000... Training accuracy.: 0.95717; testing accuracy.: 0.90000
Training loss: 1.50474; testing loss: 1.55926;
-------------------------------------------------------------------------------------------
Epoch 622/1000... Training accuracy.: 0.95715; testing accuracy.: 0.91000
Training loss: 1.50474; testing loss: 1.55034;
-------------------------------------------------------------------------------------------
Epoch 623/1000... Training accuracy.: 0.95717; testing accuracy.: 0.95000
Training loss: 1.50473; testing loss: 1.51218;
-------------------------------------------------------------------------------------------
Epoch 624/1000... Training accuracy.: 0.95717; testing accuracy.: 0.94000
Training loss: 1.50473; testing loss: 1.52136;
-------------------------------------------------------------------------------------------
Epoch 625/1000... Training accuracy.: 0.95717; testing accuracy.: 0.91500
Training loss: 1.50472; testing loss: 1.54470;
-------------------------------------------------------------------------------------------
Epoch 626/1000... Training accuracy.: 0.95720; testing accuracy.: 0.94500
Training loss: 1.50472; testing loss: 1.51701;
-------------------------------------------------------------------------------------------
Epoch 627/1000... Training accuracy.: 0.95718; testing accuracy.: 0.91000
Training loss: 1.50471; testing loss: 1.55402;
-------------------------------------------------------------------------------------------
Epoch 628/1000... Training accuracy.: 0.95722; testing accuracy.: 0.90500
Training loss: 1.50471; testing loss: 1.55494;
-------------------------------------------------------------------------------------------
Epoch 629/1000... Training accuracy.: 0.95720; testing accuracy.: 0.92000
Training loss: 1.50471; testing loss: 1.54205;
-------------------------------------------------------------------------------------------
Epoch 630/1000... Training accuracy.: 0.95720; testing accuracy.: 0.93500
Training loss: 1.50471; testing loss: 1.52354;
-------------------------------------------------------------------------------------------
Epoch 631/1000... Training accuracy.: 0.95720; testing accuracy.: 0.92500
Training loss: 1.50470; testing loss: 1.53795;
-------------------------------------------------------------------------------------------
Epoch 632/1000... Training accuracy.: 0.95722; testing accuracy.: 0.90500
Training loss: 1.50470; testing loss: 1.55591;
-------------------------------------------------------------------------------------------
Epoch 633/1000... Training accuracy.: 0.95720; testing accuracy.: 0.95500
Training loss: 1.50469; testing loss: 1.50674;
-------------------------------------------------------------------------------------------
Epoch 634/1000... Training accuracy.: 0.95722; testing accuracy.: 0.92500
Training loss: 1.50469; testing loss: 1.53870;
-------------------------------------------------------------------------------------------
Epoch 635/1000... Training accuracy.: 0.95722; testing accuracy.: 0.93500
Training loss: 1.50468; testing loss: 1.52398;
-------------------------------------------------------------------------------------------
Epoch 636/1000... Training accuracy.: 0.95722; testing accuracy.: 0.91000
Training loss: 1.50469; testing loss: 1.55172;
-------------------------------------------------------------------------------------------
Epoch 637/1000... Training accuracy.: 0.95722; testing accuracy.: 0.91500
Training loss: 1.50468; testing loss: 1.54735;
-------------------------------------------------------------------------------------------
Epoch 638/1000... Training accuracy.: 0.95722; testing accuracy.: 0.96500
Training loss: 1.50468; testing loss: 1.50524;
-------------------------------------------------------------------------------------------
Epoch 639/1000... Training accuracy.: 0.95722; testing accuracy.: 0.92000
Training loss: 1.50468; testing loss: 1.54500;
-------------------------------------------------------------------------------------------
Epoch 640/1000... Training accuracy.: 0.95722; testing accuracy.: 0.95000
Training loss: 1.50467; testing loss: 1.51245;
-------------------------------------------------------------------------------------------
Epoch 641/1000... Training accuracy.: 0.95722; testing accuracy.: 0.93000
Training loss: 1.50467; testing loss: 1.53006;
-------------------------------------------------------------------------------------------
Epoch 642/1000... Training accuracy.: 0.95722; testing accuracy.: 0.93500
Training loss: 1.50468; testing loss: 1.52751;
-------------------------------------------------------------------------------------------
Epoch 643/1000... Training accuracy.: 0.95720; testing accuracy.: 0.91500
Training loss: 1.50467; testing loss: 1.54075;
-------------------------------------------------------------------------------------------
Epoch 644/1000... Training accuracy.: 0.95722; testing accuracy.: 0.91500
Training loss: 1.50466; testing loss: 1.54722;
-------------------------------------------------------------------------------------------
Epoch 645/1000... Training accuracy.: 0.95722; testing accuracy.: 0.90000
Training loss: 1.50466; testing loss: 1.56207;
-------------------------------------------------------------------------------------------
Epoch 646/1000... Training accuracy.: 0.95723; testing accuracy.: 0.90500
Training loss: 1.50466; testing loss: 1.55851;
-------------------------------------------------------------------------------------------
Epoch 647/1000... Training accuracy.: 0.95725; testing accuracy.: 0.91000
Training loss: 1.50465; testing loss: 1.54991;
-------------------------------------------------------------------------------------------
Epoch 648/1000... Training accuracy.: 0.95723; testing accuracy.: 0.94000
Training loss: 1.50465; testing loss: 1.51897;
-------------------------------------------------------------------------------------------
Epoch 649/1000... Training accuracy.: 0.95725; testing accuracy.: 0.94500
Training loss: 1.50464; testing loss: 1.51598;
-------------------------------------------------------------------------------------------
Epoch 650/1000... Training accuracy.: 0.95725; testing accuracy.: 0.92000
Training loss: 1.50464; testing loss: 1.54620;
-------------------------------------------------------------------------------------------
Epoch 651/1000... Training accuracy.: 0.95725; testing accuracy.: 0.94500
Training loss: 1.50464; testing loss: 1.51429;
-------------------------------------------------------------------------------------------
Epoch 652/1000... Training accuracy.: 0.95725; testing accuracy.: 0.96000
Training loss: 1.50464; testing loss: 1.50235;
-------------------------------------------------------------------------------------------
Epoch 653/1000... Training accuracy.: 0.95725; testing accuracy.: 0.94500
Training loss: 1.50463; testing loss: 1.51646;
-------------------------------------------------------------------------------------------
Epoch 654/1000... Training accuracy.: 0.95725; testing accuracy.: 0.93000
Training loss: 1.50463; testing loss: 1.53162;
-------------------------------------------------------------------------------------------
Epoch 655/1000... Training accuracy.: 0.95725; testing accuracy.: 0.95000
Training loss: 1.50463; testing loss: 1.51011;
-------------------------------------------------------------------------------------------
Epoch 656/1000... Training accuracy.: 0.95723; testing accuracy.: 0.88500
Training loss: 1.50463; testing loss: 1.57377;
-------------------------------------------------------------------------------------------
Epoch 657/1000... Training accuracy.: 0.95725; testing accuracy.: 0.94500
Training loss: 1.50462; testing loss: 1.51577;
-------------------------------------------------------------------------------------------
Epoch 658/1000... Training accuracy.: 0.95725; testing accuracy.: 0.94000
Training loss: 1.50461; testing loss: 1.52041;
-------------------------------------------------------------------------------------------
Epoch 659/1000... Training accuracy.: 0.95725; testing accuracy.: 0.95500
Training loss: 1.50462; testing loss: 1.50466;
-------------------------------------------------------------------------------------------
Epoch 660/1000... Training accuracy.: 0.95727; testing accuracy.: 0.94500
Training loss: 1.50461; testing loss: 1.51165;
-------------------------------------------------------------------------------------------
Epoch 661/1000... Training accuracy.: 0.95725; testing accuracy.: 0.92500
Training loss: 1.50461; testing loss: 1.53668;
-------------------------------------------------------------------------------------------
Epoch 662/1000... Training accuracy.: 0.95725; testing accuracy.: 0.94000
Training loss: 1.50461; testing loss: 1.52012;
-------------------------------------------------------------------------------------------
Epoch 663/1000... Training accuracy.: 0.95727; testing accuracy.: 0.90000
Training loss: 1.50461; testing loss: 1.55964;
-------------------------------------------------------------------------------------------
Epoch 664/1000... Training accuracy.: 0.95727; testing accuracy.: 0.93000
Training loss: 1.50459; testing loss: 1.53163;
-------------------------------------------------------------------------------------------
Epoch 665/1000... Training accuracy.: 0.95727; testing accuracy.: 0.94000
Training loss: 1.50460; testing loss: 1.52080;
-------------------------------------------------------------------------------------------
Epoch 666/1000... Training accuracy.: 0.95725; testing accuracy.: 0.90500
Training loss: 1.50460; testing loss: 1.55550;
-------------------------------------------------------------------------------------------
Epoch 667/1000... Training accuracy.: 0.95727; testing accuracy.: 0.90500
Training loss: 1.50460; testing loss: 1.55277;
-------------------------------------------------------------------------------------------
Epoch 668/1000... Training accuracy.: 0.95727; testing accuracy.: 0.93500
Training loss: 1.50459; testing loss: 1.52658;
-------------------------------------------------------------------------------------------
Epoch 669/1000... Training accuracy.: 0.95727; testing accuracy.: 0.91500
Training loss: 1.50458; testing loss: 1.54303;
-------------------------------------------------------------------------------------------
Epoch 670/1000... Training accuracy.: 0.95725; testing accuracy.: 0.90000
Training loss: 1.50459; testing loss: 1.55933;
-------------------------------------------------------------------------------------------
